sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,60,懸浮微粒,普通,0,0.08,25.1,30.4,72,14,0.3,0.5,0.2,2.3,301,2024-06-01 18:00,,0,11.3,60,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,17,,良好,0.7,0.3,9.1,16.0,11,3,10,11.9,1.8,0.3,96,2024-06-01 18:00,,0.2,4,10,0,120.65525382,24.39017512,312
新北(樹林),新北市,41,,良好,1.9,0.4,17.4,18.0,20,11,15.3,16.3,0.9,0,348,2024-06-01 18:00,,0.3,12.5,21,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,38,,良好,0.6,0.12,17.6,23,19,11,1.3,2.1,0.7,0.5,281,2024-06-01 18:00,,0,11.8,18,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,23,,良好,0.2,0.15,11.7,15.7,20,9,6.7,9.7,3,0.2,192,2024-06-01 18:00,,0.1,7.2,20,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,20,,良好,1,0.14,13.6,13.7,13,6,4.4,7.2,2.8,1.2,233,2024-06-01 18:00,,0.1,6.1,16,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,31,,良好,1.5,0.18,12.2,16.5,14,7,6.5,8.7,2.2,0.7,114,2024-06-01 18:00,,0.2,9.7,19,1,120.56373,23.96117,201
大城,彰化縣,18,,良好,0.6,0.07,12.8,16.5,17,4,3.3,4.5,1.2,0.5,31,2024-06-01 18:00,,0,3.6,18,1,120.26964167,23.85493056,85
富貴角,新北市,46,,良好,0.3,0.17,65.6,51.0,23,3,0.9,0.8,0,4.2,50,2024-06-01 18:00,,0.1,6.8,22,0,121.53656894,25.29681695,84
麥寮,雲林縣,26,,良好,1,0.2,13.6,15.8,28,13,5,7.6,2.5,1.7,176,2024-06-01 18:00,,0.1,8,21,1,120.251825,23.753506,83
關山,臺東縣,27,,良好,0.6,0.13,24.9,29.1,16,7,2.7,3.2,0.4,2.5,25,2024-06-01 18:00,,0.1,5.7,15,0,121.161933,23.045083,80
馬公,澎湖縣,23,,良好,0.8,0.21,20.1,25.1,12,7,12.3,15.6,3.2,1.6,171,2024-06-01 18:00,,0.1,4.5,12,0,119.566158,23.569031,78
金門,金門縣,19,,良好,0.1,0.2,45.7,21.1,0,5,5.8,6.5,0.6,1.7,107,2024-06-01 18:00,,0.1,4.8,8,0,118.312256,24.432133,77
馬祖,連江縣,87,臭氧八小時,普通,0.4,0.15,66.8,66.1,13,1,2.1,2.6,0.5,2.7,325,2024-06-01 18:00,,0.1,2.7,11,0,119.93149378,26.15188416,75
埔里,南投縣,35,,良好,1,0.24,18.2,27.4,19,12,6.5,8.2,1.7,0.9,336,2024-06-01 18:00,,0.1,10.9,21,0,120.967903,23.968842,72
復興,高雄市,22,,良好,0.9,0.22,14.1,15.9,23,5,9.1,11.5,2.4,0.8,273,2024-06-01 18:00,,0.1,6.7,19,2,120.312017,22.608711,71
永和,新北市,47,,良好,1.2,1.2,9.7,19.8,14,13,28.4,45.4,16.9,0.4,4,2024-06-01 18:00,,0.7,12.1,17,0,121.516306,25.017,70
竹山,南投縣,35,,良好,0.7,0.2,12.5,24.9,26,21,8.5,9.7,1.2,1,351,2024-06-01 18:00,,0.1,10.8,22,0,120.677306,23.756389,69
中壢,桃園市,42,,良好,0.2,0.63,19.8,21.0,14,3,25.9,40.1,14.2,0.4,355,2024-06-01 18:00,,0.4,5.9,16,0,121.221667,24.953278,68
三重,新北市,48,,良好,0.9,0.9,14.6,14.1,30,11,29.3,57.7,28.3,-,-,2024-06-01 18:00,,0.8,10.1,24,1,121.493806,25.072611,67
冬山,宜蘭縣,28,,良好,0.7,0.25,25.1,29.1,16,7,11.6,13.3,1.7,0.8,130,2024-06-01 18:00,,0.2,8.7,21,0,121.792928,24.632203,66
宜蘭,宜蘭縣,31,,良好,1,0.24,33.7,34.5,11,5,6.7,7.5,0.8,0.2,139,2024-06-01 18:00,,0.2,6.8,19,1,121.746394,24.747917,65
陽明,臺北市,27,,良好,0.7,0.14,25.1,29.4,8,5,2.2,3.2,0.9,,,2024-06-01 18:00,,0.1,3.2,10,0,121.529583,25.182722,64
花蓮,花蓮縣,29,,良好,0.5,0.22,26,31.4,,2,6.5,7.1,0.5,1.9,41,2024-06-01 18:00,,0.1,2.8,,0,121.599769,23.971306,63
臺東,臺東縣,29,,良好,0,0.16,28.9,31.7,20,6,3.9,4.9,1,2.2,42,2024-06-01 18:00,,0.1,6.3,15,0,121.15045,22.755358,62
